o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
466726|4333|P|182477.28|1995-05-29|3-MEDIUM|Clerk#000000944|0|quests detect above the carefully |466726|13180|181|3|10.00|10931.80|0.07|0.07|N|O|1995-06-29|1995-07-02|1995-07-03|COLLECT COD|AIR|. furiously special dep
466791|11687|O|52483.51|1995-10-13|3-MEDIUM|Clerk#000000790|0|ests. furiously final ac|466791|9339|599|1|41.00|51181.53|0.08|0.03|N|O|1995-11-29|1995-12-06|1995-12-12|COLLECT COD|AIR|ic deposits impress ironic asympt
467073|12562|F|311393.31|1995-04-07|2-HIGH|Clerk#000000363|0|ests nod blithely about the packages. blithely ironic accou|467073|9782|560|2|7.00|11842.46|0.06|0.02|A|F|1995-05-10|1995-05-11|1995-05-23|COLLECT COD|RAIL|unts. platelets need to wake slyly thin, i
467073|12562|F|311393.31|1995-04-07|2-HIGH|Clerk#000000363|0|ests nod blithely about the packages. blithely ironic accou|467073|17184|452|6|50.00|55059.00|0.01|0.03|R|F|1995-05-20|1995-05-26|1995-06-12|TAKE BACK RETURN|RAIL|xcuses. unusual, bold requests nag quickly 
467109|11696|F|166003.40|1995-02-06|4-NOT SPECIFIED|Clerk#000000102|0|al instructions cajole carefully. final,|467109|7059|60|2|44.00|42506.20|0.07|0.05|A|F|1995-03-11|1995-03-19|1995-04-10|COLLECT COD|AIR| the asymptotes. blithe
467172|2617|F|266700.97|1995-02-04|1-URGENT|Clerk#000000042|0|ly final accounts run car|467172|5205|971|6|6.00|6661.20|0.08|0.03|A|F|1995-04-11|1995-04-26|1995-05-07|NONE|RAIL|riously even request
467431|4450|O|187336.55|1995-10-03|5-LOW|Clerk#000000674|0|ckly regular accounts. carefully bold packages wake f|467431|10890|151|2|14.00|25212.46|0.07|0.07|N|O|1995-11-29|1995-12-06|1995-12-20|TAKE BACK RETURN|RAIL|slyly according
467491|6967|P|145884.76|1995-05-12|1-URGENT|Clerk#000000761|0|, special packages. quickly final requests haggle carefu|467491|12147|934|4|18.00|19064.52|0.09|0.04|N|O|1995-06-20|1995-07-13|1995-07-20|TAKE BACK RETURN|RAIL|fluffily. carefully silent pinto beans ha
467648|13658|F|321509.86|1994-12-10|3-MEDIUM|Clerk#000000959|0|sual ideas nag busily carefu|467648|10805|586|5|35.00|60053.00|0.06|0.01|A|F|1995-01-27|1995-01-31|1995-02-24|DELIVER IN PERSON|AIR|ounts are at the furiously express pa
467778|5791|O|231362.72|1995-09-24|4-NOT SPECIFIED|Clerk#000000950|0| ironic instructions. platelets haggle above the ev|467778|1962|465|5|22.00|41007.12|0.02|0.05|N|O|1995-10-31|1995-11-16|1995-11-17|NONE|AIR|, even accounts w
467782|11465|O|123917.36|1995-07-09|4-NOT SPECIFIED|Clerk#000000646|0|onic instructions. ac|467782|10780|561|3|1.00|1690.78|0.10|0.02|N|O|1995-09-11|1995-09-18|1995-10-02|DELIVER IN PERSON|AIR|cording to the slyly 
467841|14942|F|195031.10|1994-10-30|1-URGENT|Clerk#000000956|0|ndencies across the bold accounts sleep ironic courts. |467841|11628|412|1|34.00|52347.08|0.05|0.04|R|F|1995-01-20|1995-01-27|1995-02-09|DELIVER IN PERSON|AIR| pinto beans nag blithely along the furious
467841|14942|F|195031.10|1994-10-30|1-URGENT|Clerk#000000956|0|ndencies across the bold accounts sleep ironic courts. |467841|628|629|2|47.00|71845.14|0.02|0.02|R|F|1995-01-22|1995-01-26|1995-02-08|COLLECT COD|RAIL|ely regular as
467843|9260|O|128959.73|1995-08-10|1-URGENT|Clerk#000000274|0|ckages nag blithely abov|467843|554|805|2|11.00|16000.05|0.01|0.08|N|O|1995-09-30|1995-10-03|1995-10-29|TAKE BACK RETURN|RAIL|packages are furiously furious
468032|4862|O|131646.35|1995-08-13|4-NOT SPECIFIED|Clerk#000000431|0|. quickly final pinto beans wake blithely across the fluffily s|468032|18676|481|1|8.00|12757.36|0.07|0.04|N|O|1995-09-24|1995-09-26|1995-10-15|NONE|RAIL|sly even instructions? slyl
468325|12680|O|181255.36|1995-11-23|5-LOW|Clerk#000000933|0|ent asymptotes boost furiously. ironic, even tith|468325|6314|827|4|27.00|32948.37|0.06|0.06|N|O|1995-12-18|1995-12-29|1996-01-11|TAKE BACK RETURN|RAIL| even packages. final requests sleep
468515|2995|P|314361.45|1995-03-18|3-MEDIUM|Clerk#000000030|0|ely bold theodolites. silent, pending patterns are slyly. regular, unusual s|468515|5877|133|5|38.00|67749.06|0.10|0.05|A|F|1995-05-15|1995-05-26|1995-06-07|TAKE BACK RETURN|RAIL|hely blithely reg
468675|6982|F|314566.76|1995-01-15|1-URGENT|Clerk#000000763|0| sometimes special, final accounts. sometimes pend|468675|4068|69|1|48.00|46658.88|0.06|0.07|A|F|1995-03-04|1995-03-28|1995-03-29|DELIVER IN PERSON|RAIL|lites haggle carefully carefully express id
468899|14005|O|155401.54|1995-11-08|5-LOW|Clerk#000000413|0|leep. final instructions wake. pending asymptote|468899|6791|792|1|32.00|54329.28|0.10|0.00|N|O|1995-12-11|1995-12-16|1996-01-07|NONE|RAIL|ronic warhorses. fur
468931|11396|F|113843.54|1995-01-06|5-LOW|Clerk#000000940|0| requests boost carefully; furiously ironic|468931|6812|69|3|4.00|6875.24|0.09|0.05|A|F|1995-02-25|1995-03-01|1995-03-12|TAKE BACK RETURN|AIR|ngly regular ideas. carefully even deposit
469029|12685|O|262119.15|1995-10-15|3-MEDIUM|Clerk#000000408|0|equests: final instructions boost arou|469029|12162|949|6|24.00|25779.84|0.06|0.02|N|O|1995-12-15|1995-12-16|1996-01-12|COLLECT COD|AIR|fluffily about the carefully iro
469346|3106|O|172791.47|1995-11-24|2-HIGH|Clerk#000000687|0|requests. regular, pending epitaphs among the blithely even packages nag final|469346|9246|24|5|38.00|43899.12|0.01|0.01|N|O|1995-12-30|1996-01-13|1996-01-24|COLLECT COD|AIR|es after the iro
469348|11971|F|86005.18|1994-12-09|5-LOW|Clerk#000000943|0|ilent warthogs. caref|469348|11594|378|2|2.00|3011.18|0.09|0.07|A|F|1995-02-10|1995-02-24|1995-03-04|TAKE BACK RETURN|AIR|e blithely. sile
469446|10570|F|130168.39|1994-11-10|4-NOT SPECIFIED|Clerk#000000821|0|re slyly slyly fina|469446|12321|846|5|13.00|16033.16|0.05|0.00|R|F|1995-01-29|1995-02-03|1995-02-16|TAKE BACK RETURN|AIR|unts. blithely even ideas use furio
469634|12392|F|30940.73|1994-12-17|4-NOT SPECIFIED|Clerk#000000552|0| blithely even deposits sleep closely bold deposits. bold accounts aff|469634|14931|724|1|16.00|29534.88|0.03|0.08|A|F|1995-02-16|1995-03-12|1995-03-14|COLLECT COD|RAIL| pinto beans
469637|3409|O|107194.69|1995-11-05|4-NOT SPECIFIED|Clerk#000000014|0| accounts cajole alongside of the fluffily ironic frays|469637|1089|341|1|33.00|32672.64|0.10|0.07|N|O|1995-11-24|1995-12-15|1995-12-18|DELIVER IN PERSON|RAIL|ly after the quickly final theodolites.
469765|12803|F|178507.26|1994-12-12|1-URGENT|Clerk#000000165|0|aggle blithely final instructions. blithely ironic foxes affix|469765|8790|307|4|3.00|5096.37|0.04|0.05|A|F|1994-12-27|1995-01-22|1995-01-26|NONE|AIR| quickly spec
469826|14197|F|194474.56|1995-02-23|2-HIGH|Clerk#000000599|0|ronic excuses are quic|469826|4803|312|1|7.00|11954.60|0.05|0.08|A|F|1995-04-07|1995-04-26|1995-05-05|DELIVER IN PERSON|AIR|lyly regular acco
469826|14197|F|194474.56|1995-02-23|2-HIGH|Clerk#000000599|0|ronic excuses are quic|469826|19056|864|2|31.00|30226.55|0.08|0.03|A|F|1995-04-22|1995-05-03|1995-05-20|TAKE BACK RETURN|RAIL|e slyly fur
469991|5752|O|237363.30|1995-07-30|5-LOW|Clerk#000000755|0|ckly final deposits about the even, regular accounts |469991|302|553|5|17.00|20439.10|0.08|0.04|N|O|1995-10-17|1995-10-20|1995-11-16|NONE|AIR|usual, even accounts. final foxes ou
470082|10460|F|31969.11|1994-12-11|2-HIGH|Clerk#000000567|0|the blithely ironic pinto beans. carefully even requests wake slyly|470082|10897|898|2|5.00|9039.45|0.08|0.06|R|F|1995-01-04|1995-01-14|1995-02-03|TAKE BACK RETURN|AIR|excuses detect caref
470371|12004|O|226262.41|1995-10-10|2-HIGH|Clerk#000000713|0|kly regular deposits. slyly f|470371|14648|913|2|8.00|12501.12|0.08|0.08|N|O|1995-11-04|1995-11-30|1995-12-02|TAKE BACK RETURN|RAIL|lites. slyly regular packages boost care
470400|14756|O|301285.79|1995-08-18|1-URGENT|Clerk#000000717|0|ckey players maintain furiousl|470400|5288|54|5|50.00|59664.00|0.03|0.02|N|O|1995-10-28|1995-11-09|1995-11-21|NONE|AIR|dolphins haggle quick
470690|10339|O|248492.97|1995-07-17|3-MEDIUM|Clerk#000000562|0|e blithely unusual requests. quickly final packages haggle sly|470690|16257|56|5|44.00|51623.00|0.09|0.08|N|O|1995-10-07|1995-10-11|1995-10-18|DELIVER IN PERSON|AIR|wake. packages wa
470817|4703|O|94932.03|1995-09-30|4-NOT SPECIFIED|Clerk#000000526|0|ong the ironic theodolites sle|470817|2591|348|2|13.00|19416.67|0.07|0.04|N|O|1995-12-05|1995-12-15|1995-12-18|COLLECT COD|AIR|gular excuses-- special
471431|1043|P|85009.82|1995-04-20|5-LOW|Clerk#000000074|0|onic instructions. blithely bold packages x-ray furiously fu|471431|4274|275|1|21.00|24743.67|0.07|0.00|N|F|1995-06-02|1995-06-12|1995-07-02|NONE|AIR|f the blithely final Tiresias. u
471554|14152|O|312470.40|1995-06-08|1-URGENT|Clerk#000000918|0|accounts sleep. express |471554|1936|690|6|26.00|47786.18|0.03|0.00|N|O|1995-07-05|1995-07-21|1995-08-02|TAKE BACK RETURN|AIR|s. slyly regular accou
472164|12595|O|153261.64|1995-07-19|5-LOW|Clerk#000000287|0|g. blithely final requests a|472164|11778|301|3|17.00|28726.09|0.04|0.08|N|O|1995-08-24|1995-09-12|1995-09-23|NONE|AIR|slyly final multipliers; care
472194|1801|O|163945.06|1995-10-01|5-LOW|Clerk#000000279|0|ironic requests are blithely regular accounts. furiously regu|472194|11511|773|2|16.00|22760.16|0.03|0.05|N|O|1995-12-14|1995-12-19|1996-01-05|TAKE BACK RETURN|AIR|lyly regular hoc
472289|12530|P|309286.62|1995-03-30|2-HIGH|Clerk#000000906|0|e quickly bold deposits. carefully ironic instructions lose. bold, regular |472289|4862|625|1|50.00|88343.00|0.05|0.02|N|F|1995-05-30|1995-06-01|1995-06-25|COLLECT COD|RAIL|platelets detect quickly sly
472323|7469|F|231063.31|1995-02-16|2-HIGH|Clerk#000000565|0|hely carefully fluffy excuses-- ideas boost alongsid|472323|16424|957|1|5.00|6702.10|0.07|0.06|A|F|1995-04-02|1995-04-22|1995-04-24|NONE|RAIL|ctions boost blithely slyly
472515|1720|O|243889.45|1995-07-02|5-LOW|Clerk#000000559|0|ily after the furiously special excuses-- quickly ironic depende|472515|14985|986|3|41.00|77899.18|0.04|0.08|N|O|1995-08-12|1995-08-29|1995-09-02|NONE|AIR|even packages
472645|3127|F|165590.16|1995-02-04|1-URGENT|Clerk#000000687|0| final foxes haggle s|472645|1429|932|1|35.00|46564.70|0.10|0.04|R|F|1995-02-24|1995-03-21|1995-03-25|TAKE BACK RETURN|RAIL|kly bold request
472771|12416|O|165960.47|1995-07-03|2-HIGH|Clerk#000000978|0|cuses. special, regular instructions sleep quickly.|472771|2600|853|1|46.00|69119.60|0.07|0.04|N|O|1995-08-03|1995-08-22|1995-09-01|DELIVER IN PERSON|RAIL|final requests are c
472865|12160|P|294420.09|1995-06-01|4-NOT SPECIFIED|Clerk#000000856|0|ggle ideas. ironic, regular foxes haggle |472865|46|547|6|20.00|18920.80|0.07|0.00|N|O|1995-08-21|1995-08-26|1995-09-11|DELIVER IN PERSON|RAIL| pinto beans. thinly final packages across
472869|5482|O|264285.60|1995-10-06|5-LOW|Clerk#000000850|0|lar requests cajole fluffily. packages affix at|472869|10557|338|4|31.00|45494.05|0.10|0.00|N|O|1995-12-17|1995-12-29|1996-01-15|DELIVER IN PERSON|AIR| the furiously final accou
472900|11747|F|234463.90|1994-12-15|4-NOT SPECIFIED|Clerk#000000397|0| requests wake carefully carefully daring pack|472900|10898|419|1|50.00|90444.50|0.02|0.04|A|F|1995-03-02|1995-03-10|1995-03-30|DELIVER IN PERSON|RAIL| attainments haggle quickly about the id
472932|12377|F|15704.19|1995-01-08|5-LOW|Clerk#000000242|0|endencies. regular f|472932|5560|816|1|4.00|5862.24|0.06|0.05|R|F|1995-01-25|1995-02-07|1995-02-10|DELIVER IN PERSON|RAIL|equests ca
472999|4489|P|181708.21|1995-05-20|1-URGENT|Clerk#000000350|0|refully special accounts above the slyly regular instructions cajo|472999|7566|567|3|20.00|29471.20|0.10|0.08|N|O|1995-06-19|1995-06-20|1995-07-09|COLLECT COD|AIR|arly. evenly regular i
473027|6193|F|238709.55|1995-03-08|1-URGENT|Clerk#000000567|0|ngside of the final, unusual instructions. quickly bold deposits nag |473027|1161|413|2|34.00|36113.44|0.09|0.01|R|F|1995-05-25|1995-06-02|1995-06-10|TAKE BACK RETURN|AIR| accounts s
473062|13609|F|149009.66|1995-03-07|2-HIGH|Clerk#000000626|0| ironic accounts. carefully regular excuses haggle carefully. final id|473062|10751|12|1|39.00|64808.25|0.09|0.08|A|F|1995-03-21|1995-04-13|1995-04-20|DELIVER IN PERSON|RAIL| accounts. carefully silent foxes maint
473159|13529|O|273755.39|1995-06-27|1-URGENT|Clerk#000000061|0|grouches. fluffily unusual pinto bean|473159|12111|112|3|13.00|13300.43|0.06|0.01|N|O|1995-09-09|1995-09-10|1995-09-11|NONE|AIR|ackages about the 
473507|14846|F|237140.11|1995-03-15|5-LOW|Clerk#000000472|0|ites are quickly ironic packages. furiously special deposits|473507|5342|598|1|39.00|48646.26|0.00|0.07|N|F|1995-05-31|1995-06-11|1995-06-19|DELIVER IN PERSON|AIR|osits. special instructions within the blit
473510|6943|O|169595.97|1995-08-17|5-LOW|Clerk#000000224|0| carefully along the brave foxes; pinto beans cajole furiously|473510|6163|164|2|2.00|2138.32|0.07|0.01|N|O|1995-09-12|1995-09-23|1995-09-29|DELIVER IN PERSON|RAIL| sleep about the ca
473635|2560|O|130589.41|1995-09-07|5-LOW|Clerk#000000728|0| bold dolphins according to the silent dinos thrash|473635|14801|330|1|22.00|37747.60|0.08|0.07|N|O|1995-11-06|1995-11-15|1995-11-26|TAKE BACK RETURN|RAIL|sts nag instructions? regular idea
473762|12638|P|151688.13|1995-03-05|2-HIGH|Clerk#000000547|0|the blithely final packages. blithely special courts wake blithel|473762|9294|72|1|30.00|36098.70|0.05|0.04|R|F|1995-05-19|1995-05-21|1995-06-05|COLLECT COD|RAIL|blithely across the quickly
473762|12638|P|151688.13|1995-03-05|2-HIGH|Clerk#000000547|0|the blithely final packages. blithely special courts wake blithel|473762|12879|142|2|50.00|89593.50|0.02|0.02|R|F|1995-04-22|1995-04-30|1995-05-07|COLLECT COD|RAIL|lites wake about t
473858|8879|O|130929.08|1995-10-14|3-MEDIUM|Clerk#000000005|0|y regular packages sleep blithely. bold, bold deposits cajole |473858|8357|616|2|28.00|35429.80|0.00|0.00|N|O|1995-11-20|1995-11-29|1995-12-20|DELIVER IN PERSON|AIR|s haggle furious
473860|9874|O|147948.73|1995-12-05|4-NOT SPECIFIED|Clerk#000000732|0|aggle across the quickly unusual packages. careful|473860|9344|345|3|42.00|52640.28|0.09|0.00|N|O|1995-12-28|1996-01-07|1996-01-22|TAKE BACK RETURN|RAIL|kages. even deposits against t
474149|2042|F|188777.71|1994-12-19|5-LOW|Clerk#000000301|0|ickly quickly regular accounts. fluffily unusual requests boost enticingl|474149|8626|401|2|1.00|1534.62|0.02|0.08|A|F|1995-02-07|1995-02-17|1995-02-22|COLLECT COD|RAIL|boost furiously furio
474306|9244|O|215977.95|1995-09-26|5-LOW|Clerk#000000953|0|are besides the final, final instructions. carefully furious packages u|474306|19183|184|4|19.00|20941.42|0.05|0.05|N|O|1995-11-09|1995-11-16|1995-12-06|TAKE BACK RETURN|AIR|ockey players a
474338|2615|F|141459.86|1994-12-06|4-NOT SPECIFIED|Clerk#000000439|0|efully even patterns haggle carefully bold platelets. blithely|474338|9937|456|1|10.00|18469.30|0.05|0.04|R|F|1995-02-03|1995-02-10|1995-02-27|NONE|RAIL|ecial pinto beans wake after t
474432|3361|O|220881.16|1995-07-18|3-MEDIUM|Clerk#000000654|0|ut the carefully regular foxes. quickly even|474432|414|665|4|30.00|39432.30|0.06|0.07|N|O|1995-09-05|1995-09-12|1995-09-18|DELIVER IN PERSON|AIR|al accounts cajole. caref
474598|10802|O|135831.62|1995-10-04|4-NOT SPECIFIED|Clerk#000000294|0|ffily: furiously pending warthogs boo|474598|6240|753|1|43.00|49288.32|0.04|0.03|N|O|1995-11-30|1995-12-07|1995-12-17|TAKE BACK RETURN|RAIL|s along the furiously ironic account
474723|3401|O|116064.34|1995-09-29|1-URGENT|Clerk#000000719|0|osits. unusual pinto beans affix even, ev|474723|16522|55|3|2.00|2877.04|0.06|0.08|N|O|1995-11-30|1995-12-06|1995-12-25|COLLECT COD|AIR|wly unusual foxes cajole slyly. pack
474817|12142|P|143168.14|1995-05-05|1-URGENT|Clerk#000000127|0| are notornis. slyly bold deposits nod across the unusual|474817|19914|184|2|21.00|38512.11|0.04|0.08|R|F|1995-05-19|1995-06-14|1995-06-15|DELIVER IN PERSON|RAIL|ly furious deposits cajole accounts
474882|11353|O|86659.30|1995-10-03|5-LOW|Clerk#000000268|0|lyly regular depths. fluffily regular requests was carefully along|474882|10141|402|1|38.00|39943.32|0.00|0.00|N|O|1995-11-30|1995-12-03|1995-12-29|NONE|AIR|inal packages are fina
474918|1840|F|152569.23|1994-10-09|5-LOW|Clerk#000000778|0|uses wake bold braids. express, bold plat|474918|17547|815|3|34.00|49794.36|0.05|0.05|R|F|1995-01-03|1995-01-05|1995-01-09|COLLECT COD|RAIL|wake across the even requests. slyly fi
475138|8416|F|90502.41|1994-10-26|1-URGENT|Clerk#000000565|0|blithely final foxes around the furiously unusual accounts are blithely re|475138|1327|830|2|12.00|14739.84|0.09|0.01|A|F|1995-01-15|1995-01-18|1995-02-13|TAKE BACK RETURN|RAIL|eodolites affix carefully ideas. regu
475393|1825|O|110215.83|1995-07-30|4-NOT SPECIFIED|Clerk#000000804|0|ggle across the deposits. carefully regular pinto beans dazzle furio|475393|642|143|3|17.00|26224.88|0.09|0.02|N|O|1995-10-10|1995-10-17|1995-10-25|DELIVER IN PERSON|RAIL| theodolites according to the sl
475428|12209|P|177455.37|1995-06-02|2-HIGH|Clerk#000000680|0|ithely final pinto beans. blithely special |475428|18649|454|2|20.00|31352.80|0.02|0.04|N|O|1995-08-27|1995-08-31|1995-09-25|COLLECT COD|AIR|usly even deposits hinder carefully
475587|4120|F|233544.29|1994-10-22|1-URGENT|Clerk#000000884|0| fluffily unusual requests. regular, final pinto beans ca|475587|2873|378|1|41.00|72810.67|0.05|0.04|R|F|1994-12-22|1994-12-23|1995-01-05|COLLECT COD|AIR|ross the quickly ev
475652|2198|F|197251.10|1995-02-15|1-URGENT|Clerk#000000553|0|t requests haggle flu|475652|10100|881|4|36.00|36363.60|0.09|0.03|A|F|1995-03-29|1995-04-26|1995-04-27|DELIVER IN PERSON|AIR|pinto bean
475687|2650|O|267941.85|1995-10-28|4-NOT SPECIFIED|Clerk#000000901|0|uickly ironic accounts haggle carefully. regular packages are quickly pea|475687|12790|53|6|36.00|61300.44|0.06|0.03|N|O|1995-12-26|1995-12-30|1996-01-02|NONE|AIR|-ray. pending pinto beans use
475808|13255|F|115709.75|1995-01-17|4-NOT SPECIFIED|Clerk#000000994|0|deposits. pending, final instructions maintain blithely|475808|16627|426|2|24.00|37046.88|0.04|0.00|R|F|1995-03-18|1995-03-26|1995-04-17|DELIVER IN PERSON|RAIL|gular theodolites use amon
476002|10043|O|228437.46|1995-10-01|4-NOT SPECIFIED|Clerk#000000920|0|thely ironic packages sleep fluff|476002|1664|665|4|21.00|32878.86|0.04|0.06|N|O|1995-12-10|1995-12-17|1995-12-28|COLLECT COD|AIR|es wake blithely about the furiou
476097|13822|O|209172.40|1995-06-29|4-NOT SPECIFIED|Clerk#000000169|0| nag carefully about t|476097|14051|580|5|43.00|41497.15|0.04|0.03|N|O|1995-08-18|1995-09-08|1995-09-09|NONE|RAIL|usly unusua
476646|3569|P|314990.52|1995-05-27|4-NOT SPECIFIED|Clerk#000000552|0|usly even deposits haggle slyly pending deposits. furiously unusual asympt|476646|13090|617|6|48.00|48148.32|0.06|0.06|N|O|1995-08-18|1995-08-22|1995-08-23|NONE|AIR| the silent depo
476740|4448|O|107002.92|1995-10-23|1-URGENT|Clerk#000000237|0| foxes: furiously express request|476740|10048|49|2|12.00|11496.48|0.04|0.00|N|O|1995-11-03|1995-11-23|1995-11-25|NONE|RAIL|equests. c
476806|6928|O|246361.70|1995-08-27|2-HIGH|Clerk#000000437|0|lyly fluffily even pinto beans. bold accounts cajole acco|476806|6973|742|3|35.00|65798.95|0.02|0.08|N|O|1995-09-16|1995-10-03|1995-10-07|TAKE BACK RETURN|RAIL|oxes sleep blithely along the speci
476897|4619|F|110056.41|1995-03-17|4-NOT SPECIFIED|Clerk#000000590|0|odolites. ironic foxes are. p|476897|17834|102|1|34.00|59562.22|0.09|0.03|R|F|1995-04-24|1995-04-25|1995-05-04|NONE|RAIL|. even, express d
476932|9556|F|269203.67|1995-02-18|3-MEDIUM|Clerk#000000982|0|accounts sleep about the warhorses|476932|7801|573|3|43.00|73478.40|0.05|0.04|R|F|1995-04-07|1995-04-25|1995-05-05|COLLECT COD|AIR|nic instructions detect blithel
477089|13876|F|265691.95|1995-01-01|2-HIGH|Clerk#000000829|0| regular frays are furiously e|477089|13456|720|2|5.00|6847.25|0.10|0.06|R|F|1995-03-06|1995-03-08|1995-04-01|DELIVER IN PERSON|RAIL|ic deposits. carefully unusual requests
477254|10489|O|80955.24|1995-11-29|4-NOT SPECIFIED|Clerk#000000276|0|requests after the furiously final requests haggle f|477254|11583|845|3|3.00|4483.74|0.02|0.04|N|O|1995-12-21|1996-01-10|1996-01-11|COLLECT COD|RAIL|ully carefully final foxes. r
477411|9140|O|168777.16|1995-06-19|5-LOW|Clerk#000000724|0|metimes final instructions wake blithely furiously even foxes. slyly |477411|12785|310|5|12.00|20373.36|0.06|0.05|N|O|1995-08-10|1995-08-28|1995-09-03|TAKE BACK RETURN|AIR|final foxes gro
477415|5245|P|147613.60|1995-02-28|4-NOT SPECIFIED|Clerk#000000010|0|ng to the carefully regular packages sleep carefully r|477415|13818|82|4|6.00|10390.86|0.02|0.01|R|F|1995-04-03|1995-04-15|1995-04-30|NONE|AIR|ly even packages doubt. slyly regular
477568|11525|O|190208.50|1995-10-25|4-NOT SPECIFIED|Clerk#000000786|0|eans boost slyly along the furiously even|477568|9247|766|5|47.00|54343.28|0.05|0.08|N|O|1995-11-24|1995-12-04|1995-12-05|NONE|RAIL|cajole furiously toward the quickly regula
477696|2689|F|64302.96|1995-01-09|2-HIGH|Clerk#000000473|0|ar foxes. pinto beans haggle slyl|477696|5320|576|1|20.00|24506.40|0.08|0.06|A|F|1995-03-28|1995-04-08|1995-04-18|NONE|AIR| foxes. pending, final accounts wake a
477892|12295|F|105989.93|1995-03-22|1-URGENT|Clerk#000000335|0|le furiously furiously bold|477892|2710|215|2|43.00|69346.53|0.01|0.07|R|F|1995-05-08|1995-05-15|1995-06-02|DELIVER IN PERSON|RAIL|ironic courts affix alongs
477956|2983|O|108766.59|1995-08-02|5-LOW|Clerk#000000277|0|e slyly unusual depths. furiously special accounts are blithely carefu|477956|13440|441|5|6.00|8120.64|0.02|0.00|N|O|1995-09-16|1995-09-17|1995-10-02|DELIVER IN PERSON|RAIL|ole slyly fu
478247|12932|F|315918.87|1994-12-17|5-LOW|Clerk#000000905|0|ut the regular foxes. quickly brave instructions sl|478247|10700|701|3|7.00|11274.90|0.08|0.07|R|F|1995-01-31|1995-02-12|1995-02-20|COLLECT COD|RAIL|packages are slyly according to
478534|8668|F|203932.20|1995-01-07|1-URGENT|Clerk#000000654|0| pending packages. fluffily final |478534|5809|320|2|24.00|41155.20|0.08|0.00|A|F|1995-03-18|1995-03-30|1995-04-07|TAKE BACK RETURN|RAIL|ns alongside of the careful
478596|11815|O|231487.52|1995-10-14|4-NOT SPECIFIED|Clerk#000000650|0|he closely regular packages. fluffily final theodolites sle|478596|16887|686|6|23.00|41489.24|0.10|0.08|N|O|1995-11-13|1995-11-20|1995-11-26|TAKE BACK RETURN|AIR|thout the carefully final pac
478821|12017|P|104664.62|1995-05-29|2-HIGH|Clerk#000000491|0|ipliers? blithe realms are quickly quickly ironic ins|478821|14702|703|3|1.00|1616.70|0.07|0.04|N|O|1995-06-21|1995-06-30|1995-07-08|TAKE BACK RETURN|RAIL|ckly final grouches. pending ideas ca
478849|4316|F|228332.36|1995-02-06|3-MEDIUM|Clerk#000000036|0|odolites sleep slyly |478849|16942|943|4|11.00|20448.34|0.03|0.01|A|F|1995-03-28|1995-04-05|1995-04-11|TAKE BACK RETURN|RAIL|ess accounts haggle carefully. fur
479175|3548|F|160528.68|1994-10-24|1-URGENT|Clerk#000000647|0|ep fluffily pending ideas. exp|479175|16809|608|2|48.00|82838.40|0.03|0.04|A|F|1995-01-15|1995-01-22|1995-01-23|COLLECT COD|AIR|e carefully regu
479203|12985|O|126410.02|1995-10-09|2-HIGH|Clerk#000000107|0|al deposits. carefully |479203|15002|3|2|23.00|21091.00|0.05|0.00|N|O|1995-11-01|1995-11-13|1995-11-14|DELIVER IN PERSON|RAIL|r, busy deposits. requests are pack
479586|5158|O|327872.23|1995-09-18|3-MEDIUM|Clerk#000000915|0|onic deposits are alongside of th|479586|1388|389|2|48.00|61890.24|0.01|0.04|N|O|1995-10-21|1995-10-31|1995-11-06|NONE|AIR|yly regular braids 
479587|13382|O|326717.24|1995-09-06|4-NOT SPECIFIED|Clerk#000000090|0|ke. special, final |479587|7960|732|5|45.00|84058.20|0.03|0.05|N|O|1995-10-26|1995-11-12|1995-11-23|COLLECT COD|RAIL|deposits sleep accord
479618|187|F|212250.19|1995-02-01|1-URGENT|Clerk#000000653|0|he blithely pending instructions. slyly ironic platelets sleep fur|479618|12909|696|2|16.00|29150.40|0.07|0.01|A|F|1995-04-16|1995-05-02|1995-05-12|TAKE BACK RETURN|RAIL|uffily pending deposits
479719|2713|O|221754.96|1995-10-29|2-HIGH|Clerk#000000385|0|nto beans cajole quickly unusual pinto beans.|479719|9852|112|2|35.00|61664.75|0.09|0.00|N|O|1995-12-04|1995-12-13|1995-12-20|COLLECT COD|AIR|xpress deposits. qu
480007|730|F|165741.69|1995-01-18|3-MEDIUM|Clerk#000000184|0|ic, permanent ideas|480007|6788|557|3|32.00|54232.96|0.10|0.05|A|F|1995-04-11|1995-04-16|1995-04-17|COLLECT COD|RAIL|s haggle ev
480132|14122|O|201449.26|1995-08-15|4-NOT SPECIFIED|Clerk#000000117|0|s. ironic dolphins against the busily enticing asymptot|480132|2202|707|5|9.00|9937.80|0.07|0.05|N|O|1995-11-01|1995-11-03|1995-11-12|COLLECT COD|RAIL|deposits accordin
